room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SAUNA,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_PETS,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_MAPS_RESORT,SYSTEM_DRYER,SYSTEM_FIREPLACE,SYSTEM_SKI,SYSTEM_BOAT_SAIL,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_EV_CHARGER,SYSTEM_HIGH_CHAIR,SYSTEM_CALENDAR,SYSTEM_BATHTUB
869942058076826958,https://www.airbnb.com.vn/rooms/869942058076826958,,Vũng Tàu,26,10.349720979226381,107.09568965078735,REGULAR,,Enjoy Sunsets in 2BR Condo,entire_home,,False,,/ đêm,,,4,,True,True,True,,True,True,True,,True,,,,False,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
48991965,https://www.airbnb.com.vn/rooms/48991965,"4,84",Thành phố Vũng Tàu,30,10.34918,107.0772,REGULAR,,Nhà trung tâm thành phố - 2 phòng - gần biển,entire_home,19,False,,/ đêm,,,6,True,True,True,True,,,,True,,True,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,,,,,True
858414235421284739,https://www.airbnb.com.vn/rooms/858414235421284739,,Vũng Tàu,6,10.34936,107.07684,REGULAR,,"Like Home Homestay, Vũng Tàu, Việt Nam",private_room,,False,,/ đêm,,,2,True,True,True,True,True,,,True,,True,,,,False,,,,,,True,False,,,,,,,,,,,,,,,,,,,,
41331382,https://www.airbnb.com.vn/rooms/41331382,"4,88",Thành phố Vũng Tàu,30,10.33383,107.08854,REGULAR,,"Lami House Ocean, cc GOLD SEA, view biển",entire_home,34,False,,/ đêm,1.327,₫1.327.154,8,True,True,True,,,True,,True,,True,,,,False,,,,,True,,,,True,,True,,,,,,,,,,,,,,,,
46213477,https://www.airbnb.com.vn/rooms/46213477,"4,67",Thành phố Vũng Tàu,30,10.35358,107.08778,REGULAR,,5-homlink_509,private_room,9,False,,/ đêm,604.494,₫604.494,2,,True,True,True,True,,True,,,True,,,,False,False,True,3,True,,,False,,,,,,,True,,,,,,,,,,,,,
844465895413677923,https://www.airbnb.com.vn/rooms/844465895413677923,,Vũng Tàu,21,10.35039234470483,107.09677798783568,REGULAR,,THE SÓNG Apartment  MƠ Homestay,entire_home,,False,,/ đêm,996.471,₫996.471,6,,True,True,True,,True,,True,,,,,,False,,,,,True,,,True,,True,,,,,,,,,,,,,True,,,,
739388921758033151,https://www.airbnb.com.vn/rooms/739388921758033151,,Vũng Tàu,12,10.3499614,107.0961159,REGULAR,,Homestay Homestay Vũng Tàu,entire_home,,False,,/ đêm,730.353,₫730.353,4,True,True,True,True,True,True,,,,,,,True,False,,,,,,True,,,,,,,,True,,,,,,,,,,,,,
43764527,https://www.airbnb.com.vn/rooms/43764527,"5,0",Thành phố Vũng Tàu,20,10.334157943725586,107.08799743652344,REGULAR,,Gold Sea Vung Tau - Chau homestay - Lux 2bedroom,entire_home,3,False,,/ đêm,1.322,₫1.322.624,8,,True,True,True,True,True,,True,True,True,,,,False,,,,,True,,,,,,,,,,,,,,,,,,,,,,
831742509986779230,https://www.airbnb.com.vn/rooms/831742509986779230,,Vũng Tàu,30,10.34895,107.09502,REGULAR,,"[PanoramaView,HighFloor] 2BR The Song~InnHome",entire_home,,False,,/ đêm,,,3,True,True,True,True,True,True,,,,,,True,True,False,,,,,,,,True,,,,,,,,,,,,,,,,,,,
797322235156170436,https://www.airbnb.com.vn/rooms/797322235156170436,,Vũng Tàu,30,10.3376209,107.0860684,REGULAR,,PIP'S Homestay Melody (2BD-2WC)Phù hợp cho nhóm,entire_home,,False,,/ đêm,890.026,₫890.026,10,True,True,True,True,True,,,True,,True,,True,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
