room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_MOUNTAIN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_SNOWFLAKE,SYSTEM_FIREPIT,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_WASHER,SYSTEM_VIEW_CITY,SYSTEM_TV,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_DRYER,SYSTEM_ELEVATOR,SYSTEM_BOAT_SAIL,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BATHTUB,SYSTEM_FIREPLACE,SYSTEM_MAPS_RESORT,SYSTEM_SMOKING_ALLOWED,SYSTEM_CALENDAR,SYSTEM_GYM,SYSTEM_GOLF,SYSTEM_EV_CHARGER,SYSTEM_BEACH,SYSTEM_PIANO
761086868592886232,https://www.airbnb.com.vn/rooms/761086868592886232,,Sơn Tây,25,21.15813,105.47342,REGULAR,,Homestay double room tại Đường Lâm Village,private_room,,False,,/ đêm,596.265,₫596.265,2,,,True,True,True,,,,False,False,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
21416365,https://www.airbnb.com.vn/rooms/21416365,"4,29",Minh Phú,18,21.29231,105.78557,REGULAR,,Nhà Bên Rừng (U Lesa) - Nhà Gỗ Rừng Thông,entire_home,9,False,,/ đêm,1.898,₫1.898.800,2,,,True,,True,,,,False,False,True,,,True,,,,,,,,,,True,True,,,,,True,,True,,,,,,,,,
46789932,https://www.airbnb.com.vn/rooms/46789932,,Sóc Sơn,17,21.29423,105.78762,REGULAR,,Nhà Bên Rừng  (U Lesa) - Vảy ốc,entire_home,,False,,/ đêm,1.438,₫1.438.800,2,,,True,,True,,,,False,False,True,,,True,,,,,,,,,True,True,True,True,,,,,,,,,,,,,,,
28529251,https://www.airbnb.com.vn/rooms/28529251,"4,44",Ha Noi,30,21.21951,105.78198,REGULAR,,Khách sạn & Du lịch Làng Việt,private_room,52,False,,/ đêm,802.984,₫802.984,16,,True,True,True,True,,True,True,False,,,,,,,,,,,True,,True,,,,,,True,,,,,,,,,,,,,
630027608437491941,https://www.airbnb.com.vn/rooms/630027608437491941,,Phúc Yên,16,21.346104,105.718529,REGULAR,,Flamingo Đại Lải,entire_home,,False,,/ đêm,4.564,₫4.564.708,15,,True,True,True,True,,,,False,False,,,,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
839606983121870037,https://www.airbnb.com.vn/rooms/839606983121870037,,Lang Cong,12,21.48248,105.40074,REGULAR,,Nhà thôn quê yên bình,private_room,,False,,/ đêm,456.471,₫456.471,2,,True,True,,True,,,,False,False,,,,True,,False,True,,,True,,,,,,,,,,,False,,,,,,,,,,
28989618,https://www.airbnb.com.vn/rooms/28989618,"3,67",Thị xã Phúc Yên,25,21.33701,105.71803,REGULAR,,Biệt thự vui vẻ [Rừng] của chủ sở hữu biệt thự Flamingo,entire_home,3,False,,/ đêm,1.259,₫1.259.530,2,,,True,True,True,True,True,,,,,True,,True,,,,,,,,True,True,,,,,,,,,True,,,,,,,,,
878534745940578121,https://www.airbnb.com.vn/rooms/878534745940578121,,Tam Dao,26,21.4532302,105.6441852,REGULAR,,"Phòng ngủ lớn, tầm nhìn thung lũng",private_room,,False,,/ đêm,,,2,,True,True,True,True,True,,,False,,,,True,,,False,True,,,True,,True,,,,,,,,,False,,,,,,,,,,
21792986,https://www.airbnb.com.vn/rooms/21792986,,Sơn Tây,30,21.1593781,105.4710613,REGULAR,,Toàn bộ nhà ở Làng DươngLam - Duka Homestay2,private_room,,False,,/ đêm,,,2,,True,True,True,True,,True,True,False,False,,,,,,False,True,,,,,True,,,,,,,,,False,,,,,,,,,,
761939381236724104,https://www.airbnb.com.vn/rooms/761939381236724104,,Thành phố Vĩnh Yên,5,21.31695,105.62176,REGULAR,,"Toàn bộ nhà Vinh Yến, Vĩnh Phúc",entire_home,,False,,/ đêm,1.084,₫1.084.118,2,,True,,True,True,,True,,,,,True,True,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
52480435,https://www.airbnb.com.vn/rooms/52480435,,Minh Phú,22,21.27484,105.77724,REGULAR,,Nhà Bên Rừng (U Lesa) - Mini villa Con Công,entire_home,,False,,/ đêm,2.657,₫2.657.143,8,,True,True,,True,,,,False,False,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,
680836120696023677,https://www.airbnb.com.vn/rooms/680836120696023677,,Phúc Yên,30,21.33911,105.71999,REGULAR,,Phòng 201 - Limdim House Flamingo Đại Lải nghỉ dưỡng,private_room,,False,,/ đêm,1.061,₫1.061.295,4,,True,True,True,True,,,,False,False,,,True,True,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
642374241687569123,https://www.airbnb.com.vn/rooms/642374241687569123,,Minh Phú,30,21.27432,105.7769,REGULAR,,Nhà Bên Rừng (U Lesa) - Hidden Villa,entire_home,,False,,/ đêm,5.760,₫5.760.000,10,,True,True,,True,True,,,False,False,,,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
705416871940912876,https://www.airbnb.com.vn/rooms/705416871940912876,,,19,21.19885,105.42356,REGULAR,,Ostrich house - Villa view hồ và núi,entire_home,,False,,/ đêm,5.135,₫5.135.297,16,,True,True,,True,True,,,False,False,,,True,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,
590184912448781477,https://www.airbnb.com.vn/rooms/590184912448781477,,Phúc Yên,30,21.33691,105.71702,REGULAR,,Biệt thự DoQuyen F5b Flamingo Đại lai Resort,entire_home,,False,,/ đêm,4.792,₫4.792.943,8,,True,True,,True,True,True,,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23905801,https://www.airbnb.com.vn/rooms/23905801,,Thị xã Phúc Yên,11,21.23048,105.70126,REGULAR,,"Hôtel de I'Liberty, Fleurs de Phúc Yên",private_room,,False,,/ đêm,263.898,₫263.898,16,,,True,,True,,,,False,False,,,,True,,,,,,True,,True,,,True,,True,,,,,,,,True,,,,,,
47552182,https://www.airbnb.com.vn/rooms/47552182,,tt. Tam Đảo,3,21.45349,105.64413,REGULAR,,Phòng Superior Queen với góc nhìn đáng kinh ngạc,private_room,,False,,/ đêm,724.500,₫724.500,2,,,True,,,,,True,False,False,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,
49691731,https://www.airbnb.com.vn/rooms/49691731,,Sóc Sơn,5,21.2153,105.78157,REGULAR,,Khách sạn The King,private_room,,False,,/ đêm,798.824,₫798.824,16,,,True,True,True,,,,False,,,,,True,,,,,,,,True,,True,True,True,,True,,,,,,,,,,,,,
49469423,https://www.airbnb.com.vn/rooms/49469423,,Tam Đảo District,22,21.42774,105.62767,REGULAR,,Swisshome Villa Tam Đảo Golf,entire_home,,False,,/ đêm,20.541,₫20.541.186,12,True,True,True,True,True,True,,True,False,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,True,,,
758330239594863188,https://www.airbnb.com.vn/rooms/758330239594863188,,Thành phố Việt Trì,6,21.34166120812289,105.36212868068623,REGULAR,,Ngôi nhà vui vẻ có chỗ để xe trong nhà miễn phí,private_room,,False,,/ đêm,330.941,₫330.941,6,,,True,True,True,,,True,False,False,,,True,True,,False,False,,,,,,,,,,,,,,False,,,,True,,,,,,
856936864469522139,https://www.airbnb.com.vn/rooms/856936864469522139,,tt. Tam Đảo,6,21.45443873318903,105.63779134561624,REGULAR,,Phòng cho cặp đôi 2,private_room,,False,,/ đêm,1.177,₫1.177.704,2,,,True,True,True,True,True,True,False,False,,,,True,,False,True,,True,,,,,,,,,,,,,,,,,,,,,,
751680913017809976,https://www.airbnb.com.vn/rooms/751680913017809976,,Minh Trí,8,21.2835966,105.7458671,REPRESENTATIVE,,wecozy* Zenmy Garden *Fern House 2,private_room,,False,,/ đêm,2.030,₫2.030.000,3,,True,True,True,True,,,,False,False,,,,,,True,True,,,,,,,,True,,,,,,False,,,,,,,,,,
32577339,https://www.airbnb.com.vn/rooms/32577339,,Thị xã Phúc Yên,20,21.34038,105.71487,REGULAR,,Flamingo b105 big villa_5 bedroom Đại lải VĩnhPhúc,entire_home,,False,,/ đêm,6.300,₫6.300.474,14,,True,True,,True,True,True,,False,False,,,,True,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
802781670026785119,https://www.airbnb.com.vn/rooms/802781670026785119,,,23,21.216809634013583,105.78115282925872,REGULAR,,Phòng riêng - thân thiện,private_room,,False,,/ đêm,856.248,₫856.248,16,,,True,,True,,,,False,,,,True,True,,,,,,True,,True,True,True,,,True,,,,,,,,,,,,,,
31839017,https://www.airbnb.com.vn/rooms/31839017,,Ha Noi,30,21.21994,105.78148,REGULAR,,Khách sạn & Du lịch Làng Việt,private_room,,False,,/ đêm,802.991,₫802.991,16,,,True,,True,,,True,False,False,,,,True,,,,,,,,True,,,True,,,True,,,,,True,,,,,,,,
