room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_TV,isSuperHost,isVerified,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_GOLF,SYSTEM_BEACH,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_ELEVATOR,SYSTEM_PETS,SYSTEM_HAIRDRYER,SYSTEM_VIEW_CITY,yearHosting,SYSTEM_PATIO_BALCONY,SYSTEM_REFRIGERATOR,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_VIEW_OCEAN,SYSTEM_LUGGAGE_DROP,SYSTEM_FIREPLACE,SYSTEM_BABY_BATH,SYSTEM_GYM
878009926637901903,https://www.airbnb.com.vn/rooms/878009926637901903,,Vĩnh Long,7,18.66531,105.69046,REGULAR,,Private Bedroom - Vinh Long City,private_room,,False,,/ đêm,,,2.0,True,True,True,True,True,,,True,False,False,True,False,True,,,,,,,True,,,,,,,,,,,,,,,
760705064459272399,https://www.airbnb.com.vn/rooms/760705064459272399,,Thành phố Hà Tĩnh,5,18.36622627216746,105.97837740641567,REGULAR,,Nhà Nghỉ Làng Quê Vui Vầy Yên Tĩnh,private_room,,False,,/ đêm,342.353,₫342.353,4.0,True,True,,True,True,,,,,,True,False,True,,,False,,,,,True,,,,,,,,,,,,,,
35430576,https://www.airbnb.com.vn/rooms/35430576,,Thành phố Hà Tĩnh,10,18.34941,105.89539,REGULAR,,cho thue nha 17-15 bui duong lich,entire_home,,False,,/ đêm,2.890,₫2.890.707,1.0,True,True,,True,,,,,False,False,True,,,,,,,,,,,,True,,,,,,,,,,,,
831545431149045179,https://www.airbnb.com.vn/rooms/831545431149045179,,Thị xã Cửa Lò,8,18.8045393,105.7249744,REGULAR,,Căn hộ 2116 Mường Thanh Cửa Lò,entire_home,,False,,/ đêm,909.937,₫909.937,4.0,True,True,,True,,,True,,False,,True,,,True,,,,,True,,,,,,,,True,True,,,,,,,
10955215,https://www.airbnb.com.vn/rooms/10955215,"4,75",Nghi Lộc,17,18.81163,105.58277,REGULAR,,Sống cùng gia đình bản xứ tại làng nhỏ 4,entire_home,4,False,,/ đêm,401.495,₫401.495,4.0,True,,,True,,,,,False,False,True,,,,,,,,,,,,True,,,,,,True,True,,,,,
26068685,https://www.airbnb.com.vn/rooms/26068685,,Thành phố Hà Tĩnh,5,18.34209,105.89237,REGULAR,,PHÒNG STUDIO IS 61M2 - HÒA VIỆT HÀ TĨNH,entire_home,,False,,/ đêm,,,3.0,True,True,,True,True,True,True,,,,True,,,True,,,,,,,,True,,,,,,,True,,,,,,
39928574,https://www.airbnb.com.vn/rooms/39928574,,Thành phố Hà Tĩnh,1,18.33829,105.89592,REGULAR,,Phòng cho khách thuê trọ,private_room,,False,,/ đêm,264.790,₫264.790,1.0,True,True,,,True,True,,,False,False,True,False,False,,,,,,,True,,,True,True,,,,,,,,,,,
638814411631542913,https://www.airbnb.com.vn/rooms/638814411631542913,,Thị xã Cửa Lò,7,18.8049,105.72553,REGULAR,,Căn hộ 1 phòng ngủ/Chung cư Mường Thanh Cửa Lò,entire_home,,False,,/ đêm,753.177,₫753.177,4.0,,True,True,True,,,True,,False,False,True,,,True,,,,,,,,,,,,,,,,,,,,,
644390827034258249,https://www.airbnb.com.vn/rooms/644390827034258249,,Thị xã Cửa Lò,20,18.7981399,105.7295826,REGULAR,,Căn hộ Mường Thanh Cửa Lò,entire_home,,False,,/ đêm,,,4.0,True,True,True,True,True,,True,,False,False,True,,,,,,,,,,,,,,,,True,,,,,,,,
24983279,https://www.airbnb.com.vn/rooms/24983279,,Hà Tĩnh,5,18.32301,105.91356,REGULAR,,Homestay Hà tĩnh,private_room,,False,,/ đêm,268.177,₫268.177,3.0,True,True,,True,True,True,,,False,False,True,False,False,,,False,,,,,,,True,,,,,,,,,,,,
884355262648646757,https://www.airbnb.com.vn/rooms/884355262648646757,,Thị xã Cửa Lò,11,18.806030526709023,105.72314444929361,REGULAR,,Khách sạn Nhật Minh Cửa lò - phòng 502,private_room,,False,,/ đêm,,,4.0,,True,True,True,,,True,True,,,True,,,,,,,,True,,,True,,,,,,,,,True,True,,,
681587010019903465,https://www.airbnb.com.vn/rooms/681587010019903465,,Can Lộc,19,18.4542088,105.7756537,REGULAR,,Khách sạn Mạnh Hải - Điểm dừng chân lý tưởng,private_room,,False,,/ đêm,342.353,₫342.353,2.0,,True,True,True,,,True,True,False,,True,,,,,,True,,,,,,True,,,,,,,,,,,,
37652305,https://www.airbnb.com.vn/rooms/37652305,,Thị xã Cửa Lò,30,18.77786,105.7389,REGULAR,,Biệt thự Mậu Xanh,entire_home,,False,,/ đêm,4.047,₫4.047.755,16.0,True,True,True,True,,,,,False,False,,,,,,,,,True,,True,True,True,,,,,,,,,,,,
26961406,https://www.airbnb.com.vn/rooms/26961406,,Thành phố Vinh,2,18.68664,105.69192,REGULAR,,Vuong Hoan Hotel,private_room,,False,,/ đêm,308.118,₫308.118,16.0,,True,,True,,,True,,False,False,True,,,,,,,,,,,True,,True,,,,,,,,,,,
20702094,https://www.airbnb.com.vn/rooms/20702094,,,22,18.67579,105.6824,REGULAR,,Dong Du Eco Stay,private_room,1,False,,/ đêm,460.177,₫460.177,10.0,,True,,,,,True,,,,,False,False,,,False,,,,,,,True,True,,5,,,True,True,,,True,,
