room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_JACUZZI,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,price,price_full,SYSTEM_VIEW_OCEAN,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_BEACH,SYSTEM_WORKSPACE,SYSTEM_ELEVATOR,isSuperHost,isVerified,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_LOCK_ON_DOOR,SYSTEM_GYM,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_FLOWER
22429388,https://www.airbnb.com.vn/rooms/22429388,Thành phố Hải Dương,8,20.94639,106.32144,REGULAR,,Chủ nhà chính cho thuê Điện Biên Phủ Hải Dương,entire_home,False,,/ đêm,2,,True,,True,True,,,False,,2.810,₫2.810.419,,,True,,True,,,,True,,,,,True,True,True,,
37440892,https://www.airbnb.com.vn/rooms/37440892,Thành phố Hải Dương,10,20.94406,106.32763,REGULAR,,Chi Lang P. Nguyen Trai Cho Thue,entire_home,False,,/ đêm,4,True,True,True,,,,,False,False,2.837,₫2.837.157,,True,True,True,True,,,,True,,,,,,,,,
37039937,https://www.airbnb.com.vn/rooms/37039937,Thành phố Hải Dương,10,20.93925,106.32741,REGULAR,,EHOME 59 Nguyen Trai cho thue,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.837,₫2.837.157,,True,True,True,True,,,,True,,,,,,,,,
37441846,https://www.airbnb.com.vn/rooms/37441846,Thành phố Hải Dương,10,20.93158,106.30193,REGULAR,,123 Tran Van Giap Building,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.837,₫2.837.164,,True,True,True,True,,,,True,,,,,,,,,
608526659339823808,https://www.airbnb.com.vn/rooms/608526659339823808,Thành phố Hải Dương,10,20.93405,106.31759,REGULAR,,Nhà phố 5 phòng ngủ vui tươi tại TP. Hải Dương,entire_home,False,,/ đêm,6,True,True,,,,,,,,570.589,₫570.589,,True,,True,True,True,,,,,,,,,,True,,
37442749,https://www.airbnb.com.vn/rooms/37442749,Thành phố Hải Dương,10,20.91852,106.31117,REGULAR,,52 Kenh Tre P. Thanh Binh 2PN,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.837,₫2.837.157,,True,True,True,True,,,,True,,,,,,,,,
28527617,https://www.airbnb.com.vn/rooms/28527617,Thành phố Hải Dương,6,20.94204,106.33441,REGULAR,,Chào mừng bạn đến với Hải Dương!,entire_home,False,,/ đêm,2,True,True,True,True,True,True,,False,,802.984,₫802.984,,True,,True,True,,,,,,,,,,,,,
34730976,https://www.airbnb.com.vn/rooms/34730976,Thành phố Hải Dương,6,20.94829,106.31447,REGULAR,,cho thue nha 2 an dinh,entire_home,False,,/ đêm,4,True,True,,True,True,,,False,False,2.863,₫2.863.936,,,True,True,True,,,,,,,,,,,,,
21902642,https://www.airbnb.com.vn/rooms/21902642,Thành phố Hải Dương,8,20.93858,106.33439,REGULAR,,Căn hộ tại Sunrise City 123,entire_home,False,,/ đêm,2,True,True,,True,True,True,,False,False,2.810,₫2.810.426,,True,,True,True,,,,,,,,,,,,,
34161982,https://www.airbnb.com.vn/rooms/34161982,Thành phố Hải Dương,10,20.94195,106.30081,REGULAR,,cho thue nha,entire_home,False,,/ đêm,4,,True,True,True,True,,,False,False,267.664,₫267.664,,,True,True,True,,,,True,,,,,,,,,
33432820,https://www.airbnb.com.vn/rooms/33432820,Thành phố Hải Dương,21,20.93226,106.31369,REGULAR,,Horizon apartment for rent fully 89,entire_home,False,,/ đêm,6,True,True,,,,,,False,False,3.024,₫3.024.119,,,,,True,,,,,,,,,,,True,,
35746016,https://www.airbnb.com.vn/rooms/35746016,Thành phố Hải Dương,10,20.93287,106.31805,REGULAR,,cho thue nha 85-39 nguyen van linh,entire_home,False,,/ đêm,1,True,True,,,,,,False,False,2.837,₫2.837.164,,True,,True,True,,,,,,,,,,,,,
24821060,https://www.airbnb.com.vn/rooms/24821060,Thành phố Hải Dương,10,20.9393,106.33331,REGULAR,,CH CC sang trọng Xuân Diệu Quang,private_room,False,,/ đêm,4,True,True,,True,True,,,False,False,267.650,₫267.650,,True,True,,True,,,,,False,False,False,,,,,,
37033109,https://www.airbnb.com.vn/rooms/37033109,Thành phố Hải Dương,10,20.94293,106.33249,REGULAR,,31 An Ninh P. Quang Trung cho thue,entire_home,False,,/ đêm,4,True,True,,True,,,,False,False,2.837,₫2.837.157,,True,True,True,True,,,,True,,,,,,,,,
27824664,https://www.airbnb.com.vn/rooms/27824664,Thành phố Hải Dương,5,20.93524,106.31751,REGULAR,,nhà thoải mái,entire_home,False,,/ đêm,2,True,True,True,True,True,,,False,False,2.007,₫2.007.442,,True,,True,True,,,,,,,,,,,,,
