room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,isSuperHost,isVerified,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_FLOWER,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,rating,reviewCount,SYSTEM_POOL,SYSTEM_TV,SYSTEM_SNOWFLAKE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,price,price_full,SYSTEM_BEACH,SYSTEM_WASHER,SYSTEM_CRIB,SYSTEM_PETS,SYSTEM_DRYER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_EV_CHARGER,SYSTEM_FIREPLACE,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_PATIO_BALCONY,SYSTEM_ELEVATOR,SYSTEM_SMOKING_ALLOWED,SYSTEM_SAUNA,SYSTEM_PACK_N_PLAY,SYSTEM_REFRIGERATOR,SYSTEM_HIGH_CHAIR,SYSTEM_BATHTUB,SYSTEM_BREAKFAST,SYSTEM_CALENDAR,SYSTEM_PIANO,SYSTEM_MICROWAVE,SYSTEM_MAPS_RESORT,SYSTEM_GOLF
39138997,https://www.airbnb.com.vn/rooms/39138997,Ngũ Hành Sơn,30,16.01302,108.26211,REGULAR,,2BR Ocean View tại tầng 4 tại Hyatt Residence A ❤,entire_home,,,False,,/ đêm,6.0,,,,True,True,,True,,,"5,0",20,True,True,True,,,,,4.165,₫4.165.296,True,,,,,,,,,True,,,True,,,,,,True,,,,,,
854693967121533023,https://www.airbnb.com.vn/rooms/854693967121533023,Mỹ An,12,16.049407779858196,108.24792976773684,REGULAR,,"Phòng có ban công, phố đi bộ, cách bãi tắm 150m",private_room,False,True,False,,/ đêm,2.0,True,,,True,True,,True,,False,"4,67",9,,True,,,,False,1,427.500,₫427.500,True,,,,,,,,True,,,,True,,,,,,,,,,,,
41551214,https://www.airbnb.com.vn/rooms/41551214,Thành phố Hội An,30,15.90092,108.35276,REGULAR,,"Hội An, 1BR với tầm nhìn ra sông, Brkfst Incl, 5' đến bãi biển",private_room,True,True,False,,/ đêm,2.0,True,,True,,True,True,True,,False,"4,73",22,,,,,,False,3,409.728,₫409.728,True,,,True,,,,,True,,,,,,,,,,,,,,,,
36021886,https://www.airbnb.com.vn/rooms/36021886,Hội An,11,15.88392,108.32533,REGULAR,,Phòng đôi có ban công - Sống cùng gia đình bản xứ Đào Tiến,private_room,True,True,False,,/ đêm,2.0,True,,,,True,,True,,False,"4,93",29,,True,True,True,True,False,6,,,,,,,,,,,,,,True,,,,,,,,,,,,,
861819266121019592,https://www.airbnb.com.vn/rooms/861819266121019592,Thành phố Hội An,19,15.8859328,108.3282693,REGULAR,,Gia đình Hội An bên hồ bơi toàn bộ tầng cho 7 người,entire_home,,,False,,/ đêm,7.0,,,,,True,True,True,,False,,,True,True,True,True,,False,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
855570521157807292,https://www.airbnb.com.vn/rooms/855570521157807292,Sơn Trà,30,16.0581988,108.2439728,REGULAR,,NT Elegant House *3 phút đến biển Mỹ Khê *Điều hoà,entire_home,,,False,,/ đêm,4.0,,,,True,True,True,True,True,False,"5,0",11,,,,,,False,,,,True,,,True,,,,,True,,,,,,,,,,,,,,,,
675481737789734466,https://www.airbnb.com.vn/rooms/675481737789734466,Ngũ Hành Sơn,7,16.049800593697405,108.2458706527786,REPRESENTATIVE,,Căn hộ 1 phòng ngủ bên bờ biển/LIVIE An Thượng,entire_home,,,False,,/ đêm,2.0,,,,True,True,,True,True,False,"4,6",10,True,True,,,,,,917.999,₫917.999,True,,,True,,,,,,True,,,,,,,,,,,,,,,
32482423,https://www.airbnb.com.vn/rooms/32482423,Thành phố Hội An,30,15.90549,108.34652,REGULAR,,"Phòng sang trọng,villa biển Hội An,hồ bơi,ban công",private_room,,,False,,/ đêm,4.0,,,,,True,True,True,,,"4,95",20,True,True,True,,,,,403.569,₫403.569,,True,,,True,,,,,True,,True,,,,,,,,,,,,,
878645963948869993,https://www.airbnb.com.vn/rooms/878645963948869993,Ngũ Hành Sơn,23,16.0541,108.24731,REGULAR,,[Free Pickup]-Muong Thanh Sea View - My Khe Beach,entire_home,,,False,,/ đêm,5.0,,,,True,True,True,,,,"5,0",3,,True,True,,True,,,895.261,₫895.261,True,True,,,,,,,,,,,,,,,True,,,,,,,,
24358549,https://www.airbnb.com.vn/rooms/24358549,Mỹ An,17,16.048797607421875,108.24647521972656,REGULAR,,Hachi Home Cafe & Apartment ( căn hộ 202 ),entire_home,,,False,,/ đêm,3.0,,,,True,True,True,True,True,False,"4,43",7,,True,,,,,,433.647,₫433.647,True,True,,,,,,,,,,,True,,,,,,,,,,,,
14146590,https://www.airbnb.com.vn/rooms/14146590,Hội An,23,15.90696,108.34783,REGULAR,,Seaside An Bàng Homestay - Căn hộ cao cấp cạnh bãi biển,private_room,,,False,,/ đêm,2.0,,,,True,True,True,True,,False,"4,75",25,,True,True,,,False,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,
41581723,https://www.airbnb.com.vn/rooms/41581723,Mỹ An,18,16.05053,108.24495,REGULAR,,Salito Homestay đi bộ ra bãi biển chỉ 2 phút,private_room,False,True,False,,/ đêm,2.0,True,,,True,True,True,True,,False,,1,,,True,,,False,5,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
866907832981205834,https://www.airbnb.com.vn/rooms/866907832981205834,Thành phố Hội An,30,15.8873237,108.3321665,REGULAR,,double room with king bed,private_room,,,False,,/ đêm,2.0,,,,True,True,True,True,True,False,,,True,True,True,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869836792595792827,https://www.airbnb.com.vn/rooms/869836792595792827,Thành phố Hội An,7,15.87923,108.33916,REGULAR,,Lover's Retreat Rosie Villa ( Rosie C),entire_home,,,False,,/ đêm,2.0,,True,True,True,True,True,True,True,False,,,True,,,,,False,,1.882,₫1.882.942,,,,,,,,,,,,,,,,,,,,,,,,,
39437023,https://www.airbnb.com.vn/rooms/39437023,Ngũ Hành Sơn,10,16.04655,108.23739,REGULAR,,Căn hộ - ban công nhìn ra thành phố - ngôi nhà thông minh 34,entire_home,,,False,,/ đêm,2.0,,,,True,True,True,True,True,False,,,,True,,,,,,362.565,₫362.565,,True,,,,,,,True,,,,True,,,,,,,,,,,,
40271468,https://www.airbnb.com.vn/rooms/40271468,Ngũ Hành Sơn,19,16.05319,108.24593,REPRESENTATIVE,,ModernLuxury Studio cách bãi biển 1 phút,entire_home,,,False,,/ đêm,2.0,,,,True,True,True,True,,False,"4,9",348,,True,True,,,,,556.800,₫556.800,,True,,,True,,,,,,,,True,,,,,,,,,,,,
717027840587270501,https://www.airbnb.com.vn/rooms/717027840587270501,Thành phố Hội An,30,15.88163,108.32387,REGULAR,,Ninh Ninhs Garten,entire_home,,,False,,/ đêm,8.0,,True,,True,True,True,True,True,False,"4,75",12,,,,,,False,,1.711,₫1.711.766,True,,,,,,,,,,,,,,,,,,,,,,,,
31365688,https://www.airbnb.com.vn/rooms/31365688,Ngũ Hành Sơn,12,16.04689,108.23692,REGULAR,,Căn hộ - Ban công - quang cảnh thành phố - nhà thông minh 22,entire_home,,,False,,/ đêm,2.0,,,True,True,True,,True,True,False,"4,86",42,,True,True,,,,,362.565,₫362.565,,True,,,,,,,,,,,True,,,,,,,,,,,,
21519631,https://www.airbnb.com.vn/rooms/21519631,,30,15.88661,108.35726,REGULAR,,KHUYẾN MÃI LỚN! Nhà nghỉ thôn dã ven sông với khu vườn nhiệt đới,entire_home,,,False,,/ đêm,2.0,,True,True,True,True,True,True,,False,"5,0",24,,,True,,,False,,,,True,,,,,,,,,,,,,,,,,,,,,,,,
