room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_DRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_SMOKE,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_POOL,yearHosting,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_REFRIGERATOR,SYSTEM_EV_CHARGER,SYSTEM_BREAKFAST,SYSTEM_BATHTUB,SYSTEM_SMOKING_ALLOWED,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_VIEW_MOUNTAIN,SYSTEM_GOLF,SYSTEM_CALENDAR,SYSTEM_SAUNA,SYSTEM_MAPS_RESORT,SYSTEM_FIREPIT,SYSTEM_TOYS,SYSTEM_PIANO
863637878540709828,https://www.airbnb.com.vn/rooms/863637878540709828,,Thành phố Hạ Long,28,20.9524,107.07198,REGULAR,,2BR Apart-City View 1 phút đến Sea,entire_home,,False,,/ đêm,,,5,True,True,True,,,True,,True,,False,,,,,True,,,,,True,,,,True,,,,,True,,,,,,,,,,,,,
33625101,https://www.airbnb.com.vn/rooms/33625101,"4,53",Thành phố Hạ Long,23,20.95869,107.00423,REGULAR,,"Blue ROSE - 2 phòng ngủ, 70m2, Nhìn ra biển, Hồ bơi",entire_home,17,False,,/ đêm,576.236,₫576.236,7,True,True,True,True,True,True,,,,False,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
885087838463458951,https://www.airbnb.com.vn/rooms/885087838463458951,,Hạ Long,30,20.95219,107.07027,REGULAR,,An Nam Hạ Long Sapphire (3pn),entire_home,,False,,/ đêm,2.054,₫2.054.119,6,True,True,True,,,True,,True,,False,True,,,,True,,,,,,,,,True,,,True,,,,,,,,,,,,,,,
715626804906281270,https://www.airbnb.com.vn/rooms/715626804906281270,"4,8",Thành phố Hạ Long,19,20.952107728771516,107.02453717589378,REGULAR,,Căn hộ Homestay 2 phòng ngủ ĐẸP Newlife Hạ Long,entire_home,15,False,,/ đêm,904.353,₫904.353,5,True,True,True,True,True,,,,,,,,,,True,,,,,,,True,,True,,True,True,,,,,,,,,,,,,,,
41021092,https://www.airbnb.com.vn/rooms/41021092,"4,83",Xuân Đám,28,20.75173,106.99504,REGULAR,,J2 Phòng Deluxe - JOYSTAY,private_room,12,False,,/ đêm,,,2,,True,,True,,,,True,True,False,True,,,,,False,False,True,True,,,,True,,3,,,,,,,,,,,,,,,,,
42233929,https://www.airbnb.com.vn/rooms/42233929,"4,96",tt. Cát Bà,28,20.75172,106.99507,REGULAR,,J6 Phòng Deluxe - JOYSTAY,private_room,24,False,,/ đêm,,,2,,True,,True,,,,True,,False,True,,True,True,,False,,,,,,,True,,,,,,,,,,,,,,,,,,,
40660412,https://www.airbnb.com.vn/rooms/40660412,"5,0",Thành phố Hạ Long,2,20.95596,107.05059,REGULAR,,"Ký túc xá BBQ Hạ Long - phòng 402- 502, bao gồm ăn sáng",private_room,4,False,,/ đêm,516.816,₫516.816,2,,True,,True,,True,True,,,,True,True,,True,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
845449163726223940,https://www.airbnb.com.vn/rooms/845449163726223940,,Hạ Long,30,20.95665,106.99948,REGULAR,,Homstay Ngan Citadines Hạ Long,entire_home,,False,,/ đêm,912.942,₫912.942,4,True,True,True,,,True,,,,False,,,,,True,,,,,True,,,,True,,True,True,,,,,,,,,,,,,,,
876701191502769949,https://www.airbnb.com.vn/rooms/876701191502769949,,Cát Hải,7,20.72805,107.04259,REGULAR,,Seoul Hotel And Apartment - Superior Room 201,private_room,,False,,/ đêm,,,4,,True,True,True,True,True,,,,False,True,,,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,
672123367425696468,https://www.airbnb.com.vn/rooms/672123367425696468,"4,75",Thành phố Hạ Long,30,20.954038030142403,107.01294332742691,REGULAR,,Căn hộ Homestay ấm áp tuyệt vời view biển lãng mạn,entire_home,4,False,,/ đêm,,,4,True,True,True,True,True,,,,,False,,,,,,,,,,,,,,True,,True,True,,,,,,,,,,,,,,,
