room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_FLOWER,SYSTEM_TV,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_ELEVATOR,SYSTEM_HAIRDRYER,SYSTEM_POOL,SYSTEM_JACUZZI,SYSTEM_DRYER,SYSTEM_PATIO_BALCONY,SYSTEM_LUGGAGE_DROP,isSuperHost,isVerified,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_CITY,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_CALENDAR,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_FIREPLACE,SYSTEM_BEACH,SYSTEM_TOYS,SYSTEM_FIREPIT
43286221,https://www.airbnb.com.vn/rooms/43286221,,Ninh Kiều,5,10.03626,105.78956,REGULAR,,54 Homestay-001 - Bến Ninh Kiều,private_room,1,False,,/ đêm,399.412,₫399.412,4.0,True,True,,True,True,True,,,False,False,,True,,,,,,,True,,,False,True,5,True,,,,,,,,,,,,,
39877028,https://www.airbnb.com.vn/rooms/39877028,,Cái Khế,27,10.05602,105.76982,REGULAR,,1 Giường Queen - Phòng ấm cúng và thoải mái * Nhà phong lan,private_room,,False,,/ đêm,314.394,₫314.394,3.0,,True,,True,,True,True,,,,True,True,,,True,,,,True,True,,False,True,,True,,,,,,,,,,,,,
27723104,https://www.airbnb.com.vn/rooms/27723104,"4,74",Ninh Kiều,19,10.03401,105.78526,REGULAR,,"Vượt qua Homestay, 5 phút đi bộ đến Ninh Kiều Quế",entire_home,105,False,,/ đêm,639.630,₫639.630,4.0,True,True,,True,,,True,,False,False,,True,,,,True,,,,,True,,,,,,,,,True,,,,,,,,
804646948823489256,https://www.airbnb.com.vn/rooms/804646948823489256,,Hưng Phú,16,10.02003,105.78737,REGULAR,,Hung Phu Home & Apartment ( Căn hộ tại Cần Thơ),entire_home,,False,,/ đêm,3.423,₫3.423.531,12.0,True,True,True,True,,True,True,True,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
30097241,https://www.airbnb.com.vn/rooms/30097241,"4,75",Hưng Thạnh,23,10.01036,105.79043,REGULAR,,Love,private_room,4,False,,/ đêm,268.177,₫268.177,2.0,True,True,,True,True,True,True,,False,False,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,
32632864,https://www.airbnb.com.vn/rooms/32632864,"4,82",Ninh Kiều,11,10.03442,105.78478,REGULAR,,MIDMOST Boutique BR5 - 5 phút đi bộ đến Ninh Kiều Quay,private_room,17,False,,/ đêm,688.130,₫688.130,4.0,,True,,True,,,True,,False,False,,True,,,,True,,,,,True,,,,,,,,,True,,,,True,,,,
45533874,https://www.airbnb.com.vn/rooms/45533874,,Phú Thứ,9,10.01631,105.78539,REGULAR,,104-09Homestay- BigC Cần Thơ,private_room,,False,,/ đêm,376.588,₫376.588,2.0,True,True,,True,True,True,True,,False,False,,True,,,,,,,True,,,,,,,,,,,,,,,,,,,
564690517921976214,https://www.airbnb.com.vn/rooms/564690517921976214,,Ninh Kiều,9,10.05202,105.77473,REGULAR,,Nhà theo phong cách Đông Dương trong phòng đôi,private_room,,False,,/ đêm,575.152,₫575.152,2.0,True,True,True,True,,True,,True,False,False,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
885830427310444645,https://www.airbnb.com.vn/rooms/885830427310444645,,Hội An,30,10.12358777469258,106.05145630408235,REGULAR,,Entire villa with 10BRs private pool besides river,entire_home,,False,,/ đêm,,,16.0,True,True,True,True,,,,True,False,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,,
22869131,https://www.airbnb.com.vn/rooms/22869131,"4,78",,28,9.97795,105.71442,REGULAR,,Eco stay on Mekong river of smilesfew have seen 4,private_room,9,False,,/ đêm,809.605,₫809.605,2.0,True,True,,True,,True,True,,False,,True,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,
