room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_JACUZZI,SYSTEM_PETS,SYSTEM_TV,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_VIEW_CITY,SYSTEM_VIEW_OCEAN,SYSTEM_SURVEILLANCE,SYSTEM_FIREPLACE,SYSTEM_LUGGAGE_DROP,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_POOL,SYSTEM_SMOKING_ALLOWED,SYSTEM_PIANO,SYSTEM_EV_CHARGER,SYSTEM_SAUNA,SYSTEM_MICROWAVE,SYSTEM_CRIB,SYSTEM_HIGH_CHAIR,SYSTEM_BREAKFAST,SYSTEM_VIEW_MOUNTAIN,SYSTEM_CALENDAR,SYSTEM_BATHTUB
47832947,https://www.airbnb.com.vn/rooms/47832947,"4,88",Ba Đình,13,21.03311,105.80648,REGULAR,,H3362*01 giường Căn hộ* Ba Đình*Đào Tấn*Lote* Metropolis,private_room,26,True,True,4,False,,/ đêm,487.060,₫487.060,2.0,True,True,True,True,,,,,False,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
21807270,https://www.airbnb.com.vn/rooms/21807270,"4,84",Hà Nội,28,21.0235,105.82509,REGULAR,,Ngôi nhà của một kiến trúc sư (Xanh dương),private_room,117,True,True,5,False,,/ đêm,374.640,₫374.640,2.0,True,True,True,True,True,True,,,False,False,,,,True,,,,,,,True,,,,,,,,,,,,,,,
40900943,https://www.airbnb.com.vn/rooms/40900943,,Từ Liêm,8,21.02068,105.77559,REGULAR,,New apartment very cheap in my dinh 1,private_room,,False,True,,False,,/ đêm,267.600,₫267.600,2.0,,True,True,,,True,,,False,False,True,,,,True,,,,,,,,,False,,,,,,,,,,,,
43718561,https://www.airbnb.com.vn/rooms/43718561,"4,71",Ba Đình,17,21.03417,105.80882,REGULAR,,Căn hộ H222-01 giường * giặt ỦIVÀ VỆ sinh miễn phí * Lotte* CGV,entire_home,24,,,,False,,/ đêm,481.706,₫481.706,2.0,,True,True,,True,True,,,False,,True,True,,True,True,True,,,,,,,,,,,,,,,,,,,,
893099396958136552,https://www.airbnb.com.vn/rooms/893099396958136552,,Đống Đa,14,21.029634068030088,105.83368933187714,REGULAR,,Libré Homestay- Stadium Top View,private_room,,,,,False,,/ đêm,,,2.0,,True,True,,True,True,,,False,,,,,True,,,,,True,,,,,,,,,,,,,,,,,
893229812700211252,https://www.airbnb.com.vn/rooms/893229812700211252,,Cầu Giấy,6,21.0246426,105.7924486,REGULAR,,phòng studio cầu giấy,entire_home,,,,,False,,/ đêm,,,2.0,,True,True,,,,,,False,False,True,,,True,,,,,True,,,,,,,,,,,,,,,,,
885947778622110964,https://www.airbnb.com.vn/rooms/885947778622110964,,Ba Đình,26,21.04659,105.80825,REGULAR,,Cozy room near the Ha Noi center and West Lake 3.2,private_room,,False,True,,False,,/ đêm,,,2.0,True,,True,True,True,,,,False,False,True,,True,True,,,,,True,,,,,,,,,,,,,,,,,
628478416887162501,https://www.airbnb.com.vn/rooms/628478416887162501,"4,55",Hoan Kiem district,21,21.021695,105.85979,REGULAR,,Phòng ánh sáng mặt trời gần Nhà hát Lớn,private_room,11,False,True,9,False,,/ đêm,,,2.0,True,True,True,True,True,True,,,False,,True,,,True,,,,,True,,,,,,,,,,,,,,,,,
52978253,https://www.airbnb.com.vn/rooms/52978253,"5,0",Ba Đình,23,21.03442,105.80733,REGULAR,,"Căn hộ ấm cúng, thân thiện ở trung tâm thành phố",private_room,45,True,True,2,False,,/ đêm,399.412,₫399.412,2.0,True,True,True,True,True,True,,,False,False,,,,True,True,,,,,,,,,,,,,,,,,,,,,
893978463655780734,https://www.airbnb.com.vn/rooms/893978463655780734,,Từ Liêm,8,21.03814,105.77222,REGULAR,,Phòng view công viên,private_room,,,,,False,,/ đêm,,,2.0,,,,True,,True,,True,False,False,True,,,,,,,,,,,,,,True,,True,,,,,,,,,
