room_id,url,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,price,price_full,maxGuestCapacity,SYSTEM_VIEW_CITY,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_POOL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,SYSTEM_NO_DETECTOR_CO2,isSuperHost,isVerified,SYSTEM_EV_CHARGER,SYSTEM_SURVEILLANCE,SYSTEM_NO_LOCK_ON_DOOR,rating,reviewCount,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_ELEVATOR,SYSTEM_DRYER,SYSTEM_LUGGAGE_DROP,SYSTEM_PETS,SYSTEM_NO_DETECTOR_SMOKE,yearHosting,SYSTEM_LOCK_ON_DOOR,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_REFRIGERATOR,SYSTEM_FLOWER,SYSTEM_BEACH,SYSTEM_FIREPLACE,SYSTEM_JACUZZI,SYSTEM_VIEW_OCEAN,SYSTEM_BATHTUB,SYSTEM_CALENDAR,SYSTEM_MAPS_RESORT,SYSTEM_MICROWAVE,SYSTEM_MAPS_BAR,SYSTEM_PIANO,SYSTEM_BREAKFAST,SYSTEM_SAUNA,SYSTEM_BOAT_SAIL,SYSTEM_CRIB,SYSTEM_FIREPIT,SYSTEM_GYM
557112919287921848,https://www.airbnb.com.vn/rooms/557112919287921848,Quận 9,30,10.87858,106.83759,REGULAR,,S11 Nhà nghỉ dưỡng 3 phòng ngủ đáng yêu với hồ bơi  S1-11,entire_home,False,,/ đêm,1.020,₫1.020.407,6.0,,True,True,,True,True,True,True,,,,,,,,,,,True,,,True,,,,,,,,,,,True,,,,,True,,,,,,,
879929303048614309,https://www.airbnb.com.vn/rooms/879929303048614309,Quận 7,30,11.432465,106.64800500000001,REGULAR,,căn hộ chung cư cao cấp 2 phòng ngủ có bể bơi,entire_home,False,,/ đêm,,,6.0,,True,True,True,True,True,True,,,,,,,True,,,,True,,,,True,,,,,,,True,,,,,,,,,,,,,,,,
575167913272912645,https://www.airbnb.com.vn/rooms/575167913272912645,Thành phố Thủ Dầu Một,19,10.96973,106.677,REGULAR,,Căn hộ đầy đủ tiện nghi,private_room,False,,/ đêm,627.647,₫627.647,2.0,True,True,True,True,,True,True,,,,False,True,,True,,,1,True,,,,,,1,True,,,,True,,,,,,,,,,,,,,,,
22456911,https://www.airbnb.com.vn/rooms/22456911,,17,10.92593,106.71329,REGULAR,,Habitat tower-VietNam-Singapore 1 (VSIP1)-AEON,entire_home,False,,/ đêm,907.177,₫907.177,4.0,,True,True,True,True,True,True,True,,,,,,,,"3,67",5,,True,,,,,,,,,,True,,True,,,,,,,,,,,,,,
696546589211992241,https://www.airbnb.com.vn/rooms/696546589211992241,Thuận An,12,10.906352869495242,106.74268557119142,REGULAR,,Chill Apartment,entire_home,False,,/ đêm,,,4.0,True,True,,,True,,,,True,False,,,,True,,,,,,,,,False,,,,,,True,,,,,,,,,,,,,,,,
822688099690333527,https://www.airbnb.com.vn/rooms/822688099690333527,Dĩ An,21,10.90908,106.7407,REGULAR,,CH Charm city 1pn cho cặp đôi,entire_home,False,,/ đêm,736.516,₫736.516,2.0,,True,True,True,True,True,True,True,,,,,,True,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,
822171319831401746,https://www.airbnb.com.vn/rooms/822171319831401746,Quận 7,8,11.41987,106.6867,REGULAR,,Zen building - Căn hộ Studio có ban công lớn,private_room,False,,/ đêm,980.271,₫980.271,2.0,,True,True,True,,True,True,True,,,False,True,,True,,,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,
730108000421869873,https://www.airbnb.com.vn/rooms/730108000421869873,Quận 9,10,10.8661385,106.8381734,REGULAR,,Căn hộ 1 phòng ngủ + Uyên Chi Vinhomes Grandbak TP HCM,entire_home,False,,/ đêm,684.706,₫684.706,2.0,,True,True,True,True,True,True,True,,False,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
638771954761903082,https://www.airbnb.com.vn/rooms/638771954761903082,Dĩ An,30,10.90849,106.75242,REGULAR,,Căn hộ cao cấp Bcons Garden B7 dành cho gia đình + hồ bơi đẹp,entire_home,False,,/ đêm,680.902,₫680.902,4.0,,True,True,,True,True,,True,,,,,,,,,,True,True,,,,,,,True,True,True,,,,,,,,,,,,,,,,,
873935564818795521,https://www.airbnb.com.vn/rooms/873935564818795521,Thị xã Bến Cát,12,11.140541573961539,106.62940420210361,REGULAR,,Lịch sự- chu đáo - chuyên nghiệp,private_room,False,,/ đêm,,,16.0,,,True,True,,True,True,True,,False,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,
