room_id,url,rating,city,contextualPicturesCount,lat,long,listingObjType,pdpUrlType,name,roomTypeCategory,reviewCount,canInstantBook,weeklyPriceFactor,structuredStayDisplayPrice,maxGuestCapacity,SYSTEM_VIEW_OCEAN,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_POOL,SYSTEM_TV,SYSTEM_NO_DETECTOR_CO2,SYSTEM_ELEVATOR,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_PATIO_BALCONY,price,price_full,SYSTEM_PETS,SYSTEM_FIREPIT,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,yearHosting,SYSTEM_DRYER,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_REFRIGERATOR,SYSTEM_VIEW_MOUNTAIN,SYSTEM_TOYS,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,SYSTEM_LUGGAGE_DROP,SYSTEM_MAPS_RESORT,SYSTEM_EV_CHARGER,SYSTEM_BOAT_SAIL,SYSTEM_FIREPLACE,SYSTEM_CALENDAR,SYSTEM_HIGH_CHAIR,SYSTEM_SKI,SYSTEM_GYM,SYSTEM_MICROWAVE
41566272,https://www.airbnb.com.vn/rooms/41566272,,Hải An,1,20.8497,106.73547,REGULAR,,Khách sạn Sonca,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,,,True,,342.353,₫342.353,,,,,,False,,,,,,,True,True,,,,,True,,,,,,,,,,
42243102,https://www.airbnb.com.vn/rooms/42243102,,Thành phố Hạ Long,5,20.96243,106.99847,REGULAR,,MoonHomestay xin kính chào quý khách,entire_home,,False,,/ đêm,3.0,True,,True,True,,,True,True,,True,True,True,,485.087,₫485.087,,,,,,,,,,,,,,True,,,,,,,,,,,,,,True,
25017325,https://www.airbnb.com.vn/rooms/25017325,,tt. Cát Bà,9,20.72612,107.05336,REGULAR,,Nhà khách Bảo Long 6,private_room,,False,,/ đêm,4.0,,,,True,,,,True,False,,,True,,,,,,,,,False,,,,,,,,True,True,,,,,True,,,,,,,,,
41160737,https://www.airbnb.com.vn/rooms/41160737,,Hồng Bàng,12,20.87458,106.65052,REGULAR,,Phòng 02 - Vân Anh,private_room,,False,,/ đêm,3.0,,,,True,,True,,True,False,,,True,,285.294,₫285.294,True,,False,True,True,False,,,,,,,,True,,,,,,True,,,,,,,,,
25001966,https://www.airbnb.com.vn/rooms/25001966,,tt. Cát Bà,17,20.72612,107.05336,REGULAR,,Nhà khách Bảo Long 10,private_room,,False,,/ đêm,4.0,,,,True,,,,True,False,,,True,,,,,,,,,False,,,,,,,,True,True,,,,,True,,,,,True,,,,
25017941,https://www.airbnb.com.vn/rooms/25017941,,tt. Cát Bà,7,20.72612,107.05336,REGULAR,,Nhà khách Bảo Long 2,private_room,,False,,/ đêm,2.0,,,,True,,,,True,False,,True,True,,,,,,,,,False,,,,,,,,True,True,,,,,True,,,,,True,,,,
612100044865241460,https://www.airbnb.com.vn/rooms/612100044865241460,,Thành phố Hạ Long,7,20.95496,107.089485,REGULAR,,Nha ̀ Xanh Ha ̣ Long Homestay,shared_room,,False,,/ đêm,16.0,,,,True,,True,,,False,,,True,,341.212,₫341.212,,True,,,,False,,,,,,,True,,,,,,,,,,,True,,,,,
31522804,https://www.airbnb.com.vn/rooms/31522804,"4,83",Lê Chân,9,20.83893,106.68524,REGULAR,,Cindy House,private_room,6,False,,/ đêm,4.0,,,True,True,,,,True,False,,True,True,,399.412,₫399.412,,,False,True,,False,,,4,,,False,,True,True,,,,,,,,,,,,,,
859021544363868796,https://www.airbnb.com.vn/rooms/859021544363868796,,Ngô Quyền,8,20.8443373,106.6976886,REGULAR,,Căn hộ cho thuê,private_room,,False,,/ đêm,3.0,,True,True,True,True,True,,,False,,True,True,,451.773,₫451.773,,,,,,False,,,,,,,,,,,,,,True,,,,,,,,,
38055026,https://www.airbnb.com.vn/rooms/38055026,,Thành phố Hạ Long,6,20.9559,107.04692,REGULAR,,Hotel Kiều Anh,private_room,,False,,/ đêm,2.0,,,,True,,True,,True,False,,True,True,,401.495,₫401.495,,,,,,,,,,True,True,,,True,,,,,,,,,,True,,,,,
